db traj id : 482
frame,reward,score,terminal, action
2225,0, 70, False, 0
2226,0, 70, False, 4
2227,0, 70, False, 4
2228,0, 70, False, 4
2229,0, 70, False, 4
2230,0, 70, False, 4
2231,0, 70, False, 4
2232,0, 70, False, 4
2233,0, 70, False, 4
2234,0, 70, False, 4
2235,0, 70, False, 4
2236,0, 70, False, 4
2237,0, 70, False, 4
2238,0, 70, False, 4
2239,0, 70, False, 4
2240,0, 70, False, 4
2241,0, 70, False, 4
2242,0, 70, False, 4
2243,0, 70, False, 4
2244,0, 70, False, 4
2245,0, 70, False, 4
2246,0, 70, False, 4
2247,0, 70, False, 0
2248,0, 70, False, 0
2249,0, 70, False, 0
2250,0, 70, False, 0
2251,0, 70, False, 0
2252,0, 70, False, 0
2253,0, 70, False, 0
2254,0, 70, False, 0
2255,0, 70, False, 0
2256,0, 70, False, 0
2257,0, 70, False, 0
2258,0, 70, False, 0
2259,0, 70, False, 1
2260,0, 70, False, 1
2261,0, 70, False, 1
2262,0, 70, False, 1
2263,0, 70, False, 1
2264,0, 70, False, 1
2265,0, 70, False, 1
2266,0, 70, False, 1
2267,0, 70, False, 1
2268,0, 70, False, 0
2269,0, 70, False, 0
2270,0, 70, False, 0
2271,0, 70, False, 0
2272,0, 70, False, 0
2273,0, 70, False, 0
2274,0, 70, False, 0
2275,0, 70, False, 0
2276,0, 70, False, 4
2277,0, 70, False, 4
2278,0, 70, False, 4
2279,0, 70, False, 4
2280,0, 70, False, 4
2281,0, 70, False, 4
2282,0, 70, False, 4
2283,0, 70, False, 4
2284,0, 70, False, 4
2285,0, 70, False, 4
2286,0, 70, False, 4
2287,0, 70, False, 4
2288,0, 70, False, 4
2289,0, 70, False, 4
2290,0, 70, False, 4
2291,0, 70, False, 4
2292,0, 70, False, 4
2293,0, 70, False, 4
2294,0, 70, False, 4
2295,0, 70, False, 4
2296,0, 70, False, 4
2297,0, 70, False, 4
2298,0, 70, False, 4
2299,0, 70, False, 4
2300,0, 70, False, 4
2301,0, 70, False, 4
2302,0, 70, False, 4
2303,0, 70, False, 4
2304,0, 70, False, 4
2305,0, 70, False, 4
2306,0, 70, False, 4
2307,0, 70, False, 4
2308,0, 70, False, 0
2309,0, 70, False, 0
2310,0, 70, False, 0
2311,0, 70, False, 0
2312,0, 70, False, 0
2313,0, 70, False, 0
2314,0, 70, False, 0
2315,0, 70, False, 0
2316,0, 70, False, 0
2317,0, 70, False, 0
2318,0, 70, False, 0
2319,0, 70, False, 0
2320,0, 70, False, 0
2321,0, 70, False, 0
2322,0, 70, False, 0
2323,0, 70, False, 0
2324,0, 70, False, 0
2325,0, 70, False, 0
2326,0, 70, False, 0
2327,0, 70, False, 0
2328,0, 70, False, 0
2329,0, 70, False, 0
2330,0, 70, False, 0
2331,0, 70, False, 0
2332,0, 70, False, 0
2333,0, 70, False, 0
2334,0, 70, False, 0
2335,0, 70, False, 0
2336,0, 70, False, 0
2337,0, 70, False, 0
2338,0, 70, False, 0
2339,0, 70, False, 0
2340,0, 70, False, 0
2341,0, 70, False, 0
2342,0, 70, False, 0
2343,0, 70, False, 0
2344,0, 70, False, 0
2345,0, 70, False, 0
2346,0, 70, False, 0
2347,0, 70, False, 0
2348,0, 70, False, 0
2349,0, 70, False, 0
2350,0, 70, False, 0
2351,0, 70, False, 0
2352,0, 70, False, 0
2353,0, 70, False, 0
2354,0, 70, False, 0
2355,0, 70, False, 0
2356,0, 70, False, 0
2357,0, 70, False, 0
2358,0, 70, False, 0
2359,0, 70, False, 0
2360,0, 70, False, 0
2361,0, 70, False, 0
2362,0, 70, False, 0
2363,0, 70, False, 0
2364,0, 70, False, 0
2365,0, 70, False, 0
2366,0, 70, False, 0
2367,0, 70, False, 0
2368,0, 70, False, 0
2369,0, 70, False, 0
2370,0, 70, False, 0
2371,0, 70, False, 0
2372,0, 70, False, 0
2373,0, 70, False, 0
2374,0, 70, False, 0
2375,0, 70, False, 0
2376,0, 70, False, 0
2377,0, 70, False, 0
2378,0, 70, False, 0
2379,0, 70, False, 0
2380,0, 70, False, 0
2381,0, 70, False, 0
2382,0, 70, False, 0
2383,0, 70, False, 0
2384,0, 70, False, 0
2385,0, 70, False, 0
2386,0, 70, False, 0
2387,0, 70, False, 0
2388,0, 70, False, 0
2389,0, 70, False, 0
2390,0, 70, False, 0
2391,0, 70, False, 0
2392,0, 70, False, 0
2393,0, 70, False, 0
2394,0, 70, False, 0
2395,0, 70, False, 0
2396,0, 70, False, 0
2397,0, 70, False, 0
2398,0, 70, False, 0
2399,0, 70, False, 0
2400,0, 70, False, 0
2401,0, 70, False, 0
2402,0, 70, False, 0
2403,0, 70, False, 0
2404,0, 70, False, 0
2405,0, 70, False, 0
2406,0, 70, False, 0
2407,0, 70, False, 0
2408,0, 70, False, 0
2409,0, 70, False, 0
2410,0, 70, False, 0
2411,0, 70, False, 0
2412,0, 70, False, 0
2413,0, 70, False, 0
2414,0, 70, False, 0
2415,0, 70, False, 0
2416,0, 70, False, 0
2417,0, 70, False, 0
2418,0, 70, False, 0
2419,0, 70, False, 0
2420,0, 70, False, 0
2421,0, 70, False, 0
2422,0, 70, False, 0
2423,0, 70, False, 0
2424,0, 70, False, 0
2425,0, 70, False, 0
2426,0, 70, False, 0
2427,0, 70, False, 0
2428,0, 70, False, 0
2429,0, 70, False, 0
2430,0, 70, False, 0
2431,0, 70, False, 0
2432,0, 70, False, 0
2433,0, 70, False, 0
2434,0, 70, False, 0
2435,0, 70, False, 0
2436,0, 70, False, 0
2437,0, 70, False, 0
2438,0, 70, False, 0
2439,0, 70, False, 0
2440,0, 70, False, 0
2441,0, 70, False, 0
2442,0, 70, False, 0
2443,0, 70, False, 0
2444,0, 70, False, 0
2445,0, 70, False, 0
2446,0, 70, False, 0
2447,0, 70, False, 0
2448,0, 70, False, 0
2449,0, 70, False, 0
2450,0, 70, False, 0
2451,0, 70, False, 0
2452,0, 70, False, 0
2453,0, 70, False, 0
2454,0, 70, False, 0
2455,0, 70, False, 0
2456,0, 70, False, 0
2457,0, 70, False, 0
2458,0, 70, False, 0
2459,0, 70, False, 0
2460,0, 70, False, 0
2461,0, 70, False, 0
2462,0, 70, False, 0
2463,0, 70, False, 0
2464,0, 70, False, 0
2465,0, 70, False, 0
2466,0, 70, False, 0
2467,0, 70, False, 0
2468,0, 70, False, 0
2469,0, 70, False, 0
2470,0, 70, False, 0
2471,0, 70, False, 0
2472,0, 70, False, 0
2473,0, 70, False, 0
2474,0, 70, False, 0
2475,0, 70, False, 0
2476,0, 70, False, 0
2477,0, 70, False, 0
2478,0, 70, False, 0
2479,0, 70, False, 0
2480,0, 70, False, 0
2481,0, 70, False, 0
2482,0, 70, False, 0
2483,0, 70, False, 0
2484,0, 70, False, 0
2485,0, 70, False, 0
2486,0, 70, False, 0
2487,0, 70, False, 0
2488,0, 70, False, 0
2489,0, 70, False, 0
2490,0, 70, False, 0
2491,0, 70, False, 0
2492,0, 70, False, 0
2493,0, 70, False, 0
2494,0, 70, False, 0
2495,0, 70, False, 0
2496,0, 70, False, 0
2497,0, 70, False, 0
2498,0, 70, False, 0
2499,0, 70, False, 0
2500,0, 70, False, 0
2501,0, 70, False, 0
2502,0, 70, False, 0
2503,0, 70, False, 0
2504,0, 70, False, 0
2505,0, 70, False, 0
2506,0, 70, False, 0
2507,0, 70, False, 0
2508,0, 70, False, 0
2509,0, 70, False, 0
2510,0, 70, False, 0
2511,0, 70, False, 0
2512,0, 70, False, 0
2513,0, 70, False, 0
2514,0, 70, False, 0
2515,0, 70, False, 0
2516,0, 70, False, 0
2517,0, 70, False, 0
2518,0, 70, False, 0
2519,0, 70, False, 0
2520,0, 70, False, 0
2521,0, 70, False, 0
2522,0, 70, False, 0
2523,0, 70, False, 0
2524,0, 70, False, 0
2525,0, 70, False, 0
2526,0, 70, False, 0
2527,0, 70, False, 0
2528,0, 70, False, 0
2529,0, 70, False, 0
2530,0, 70, False, 0
2531,0, 70, False, 0
2532,0, 70, False, 0
2533,0, 70, False, 0
2534,0, 70, False, 0
2535,0, 70, False, 0
2536,0, 70, False, 0
2537,0, 70, False, 0
2538,0, 70, False, 0
2539,0, 70, False, 0
2540,0, 70, False, 0
2541,0, 70, False, 0
2542,0, 70, False, 0
2543,0, 70, False, 0
2544,0, 70, False, 0
2545,0, 70, False, 0
2546,0, 70, False, 0
2547,0, 70, False, 0
2548,0, 70, False, 0
2549,0, 70, False, 0
2550,0, 70, False, 0
2551,0, 70, False, 0
2552,0, 70, False, 0
2553,0, 70, False, 0
2554,0, 70, False, 0
2555,0, 70, False, 0
2556,0, 70, False, 0
2557,0, 70, False, 0
2558,0, 70, False, 0
2559,0, 70, False, 0
2560,0, 70, False, 0
2561,0, 70, False, 0
2562,0, 70, False, 0
2563,0, 70, False, 0
2564,0, 70, False, 0
2565,0, 70, False, 0
2566,0, 70, False, 0
2567,0, 70, False, 0
2568,0, 70, False, 0
2569,0, 70, False, 0
2570,0, 70, False, 0
2571,0, 70, False, 0
2572,0, 70, False, 0
2573,0, 70, False, 0
2574,0, 70, False, 0
2575,0, 70, False, 0
2576,0, 70, False, 0
2577,0, 70, False, 0
2578,0, 70, False, 0
2579,0, 70, False, 0
2580,0, 70, False, 0
2581,0, 70, False, 0
2582,0, 70, False, 0
2583,0, 70, False, 0
2584,0, 70, False, 0
2585,0, 70, False, 0
2586,0, 70, False, 0
2587,0, 70, False, 0
2588,0, 70, False, 0
2589,0, 70, False, 0
2590,0, 70, False, 0
2591,0, 70, False, 0
2592,0, 70, False, 0
2593,0, 70, False, 0
2594,0, 70, False, 0
2595,0, 70, False, 0
2596,0, 70, False, 0
2597,0, 70, False, 0
2598,0, 70, False, 0
2599,0, 70, False, 0
2600,0, 70, False, 0
2601,0, 70, False, 0
2602,0, 70, False, 0
2603,0, 70, False, 0
2604,0, 70, False, 0
2605,0, 70, False, 0
2606,0, 70, False, 0
2607,0, 70, False, 0
2608,0, 70, False, 0
2609,0, 70, False, 0
2610,0, 70, False, 0
2611,0, 70, False, 0
2612,0, 70, False, 0
2613,0, 70, False, 0
2614,0, 70, False, 0
2615,0, 70, False, 0
2616,0, 70, False, 0
2617,0, 70, False, 0
2618,0, 70, False, 0
2619,0, 70, False, 0
2620,0, 70, False, 0
2621,0, 70, False, 0
2622,0, 70, False, 0
2623,0, 70, False, 0
2624,0, 70, False, 0
2625,0, 70, False, 0
2626,0, 70, False, 0
2627,0, 70, False, 0
2628,0, 70, False, 0
2629,0, 70, False, 0
2630,0, 70, False, 0
2631,0, 70, False, 0
2632,0, 70, False, 0
2633,0, 70, False, 0
2634,0, 70, False, 0
2635,0, 70, False, 0
2636,0, 70, False, 0
2637,0, 70, False, 0
2638,0, 70, False, 0
2639,0, 70, False, 0
2640,0, 70, False, 0
2641,0, 70, False, 0
2642,0, 70, False, 0
2643,0, 70, False, 0
2644,0, 70, False, 0
2645,0, 70, False, 0
2646,0, 70, False, 0
2647,0, 70, False, 0
2648,0, 70, False, 0
2649,0, 70, False, 0
2650,0, 70, False, 0
2651,0, 70, False, 0
2652,0, 70, False, 0
2653,0, 70, False, 0
2654,0, 70, False, 0
2655,0, 70, False, 0
2656,0, 70, False, 0
2657,0, 70, False, 0
2658,0, 70, False, 0
2659,0, 70, False, 0
2660,0, 70, False, 0
2661,0, 70, False, 0
2662,0, 70, False, 0
2663,0, 70, False, 0
2664,0, 70, False, 0
2665,0, 70, False, 0
2666,0, 70, False, 0
2667,0, 70, False, 0
2668,0, 70, False, 0
2669,0, 70, False, 0
2670,0, 70, False, 0
2671,0, 70, False, 0
2672,0, 70, False, 0
2673,0, 70, False, 0
2674,0, 70, False, 0
2675,0, 70, False, 0
2676,0, 70, False, 0
2677,0, 70, False, 0
2678,0, 70, False, 0
2679,0, 70, False, 0
2680,0, 70, False, 0
2681,0, 70, False, 0
2682,0, 70, False, 0
2683,0, 70, False, 0
2684,0, 70, False, 0
2685,0, 70, False, 0
2686,0, 70, False, 0
2687,0, 70, False, 0
2688,0, 70, False, 0
2689,0, 70, False, 0
2690,0, 70, False, 0
2691,0, 70, False, 0
2692,0, 70, False, 0
2693,0, 70, False, 0
2694,0, 70, False, 0
2695,0, 70, False, 0
2696,0, 70, False, 0
2697,0, 70, False, 0
2698,0, 70, False, 0
2699,0, 70, False, 0
2700,0, 70, False, 0
2701,0, 70, False, 0
2702,0, 70, False, 0
2703,0, 70, False, 0
2704,0, 70, False, 0
2705,0, 70, False, 0
2706,0, 70, False, 0
2707,0, 70, False, 0
2708,0, 70, False, 0
2709,0, 70, False, 0
2710,0, 70, False, 0
2711,0, 70, False, 0
2712,0, 70, False, 0
2713,0, 70, False, 0
2714,0, 70, False, 0
2715,0, 70, False, 0
2716,0, 70, False, 0
2717,0, 70, False, 0
2718,0, 70, False, 0
2719,0, 70, False, 0
2720,0, 70, False, 0
2721,0, 70, False, 0
2722,0, 70, False, 0
2723,0, 70, False, 0
2724,0, 70, False, 0
2725,0, 70, False, 0
2726,0, 70, False, 0
2727,0, 70, False, 0
2728,0, 70, False, 0
2729,0, 70, False, 0
2730,0, 70, False, 0
2731,0, 70, False, 0
2732,0, 70, False, 0
2733,0, 70, False, 0
2734,0, 70, False, 0
2735,0, 70, False, 0
2736,0, 70, False, 0
2737,0, 70, False, 0
2738,0, 70, False, 0
2739,0, 70, False, 0
2740,0, 70, False, 0
2741,0, 70, False, 0
2742,0, 70, False, 0
2743,0, 70, False, 0
2744,0, 70, False, 0
2745,0, 70, False, 0
2746,0, 70, False, 0
2747,0, 70, False, 0
2748,0, 70, False, 0
2749,0, 70, False, 0
2750,0, 70, False, 0
2751,0, 70, False, 0
2752,0, 70, False, 0
2753,0, 70, False, 0
2754,0, 70, False, 0
2755,0, 70, False, 0
